"","sex","eth_group","group","OR","CI_upper","CI_lower"
"1","Males","White","Model 2",1.002002064,1.011700945,0.992396163
"2","Females","White","Model 2",1.009689748,1.02182461,0.997698996
"3","All","White","Model 2",1.004969916,1.012533855,0.997462481
"4","Males","Black","Model 2",1.01145041,1.038142462,0.985444647
"5","Females","Black","Model 2",0.997210496,1.033248718,0.962429235
"6","All","Black","Model 2",1.006327608,1.027693978,0.985405458
"7","Males","Asian","Model 2",0.972379027,1.007734025,0.938264412
"8","Females","Asian","Model 2",0.987899143,1.036265864,0.941789893
"9","All","Asian","Model 2",0.977828984,1.006220971,0.950238118
"10","Males","Others","Model 2",0.992040816,1.011239596,0.973206533
"11","Females","Others","Model 2",1.015729559,1.039092369,0.992892034
"12","All","Others","Model 2",1.001697178,1.016481862,0.987127537
"13","Males","Hispanic","Model 2",0.994762366,1.010701332,0.97907476
"14","Females","Hispanic","Model 2",1.013892699,1.033709998,0.994455319
"15","All","Hispanic","Model 2",1.002355552,1.014739803,0.990122443
"16","Males","Non-Hispanic","Model 2",1.002642372,1.01196192,0.993408651
"17","Females","Non-Hispanic","Model 2",1.00615929,1.017914425,0.994539907
"18","All","Non-Hispanic","Model 2",1.003948454,1.011240355,0.996709133
"19","Males","White","Model 1",1.003428346,1.013025474,0.993922138
"20","Females","White","Model 1",1.012164607,1.024184123,1.000286148
"21","All","White","Model 1",1.006798317,1.014285943,0.999365967
"22","Males","Black","Model 1",1.010950721,1.037271391,0.985297937
"23","Females","Black","Model 1",0.999385858,1.034998371,0.96499871
"24","All","Black","Model 1",1.006819362,1.027905167,0.986166099
"25","Males","Asian","Model 1",0.977364147,1.012255541,0.943675423
"26","Females","Asian","Model 1",0.985230003,1.032730836,0.939913988
"27","All","Asian","Model 1",0.980115183,1.008087329,0.952919202
"28","Males","Others","Model 1",0.998860936,1.017922761,0.980156066
"29","Females","Others","Model 1",1.021074793,1.044257468,0.998406776
"30","All","Others","Model 1",1.007933719,1.022610262,0.993467814
"31","Males","Hispanic","Model 1",0.999115135,1.014961067,0.983516595
"32","Females","Hispanic","Model 1",1.01673291,1.036412726,0.997426781
"33","All","Hispanic","Model 1",1.006112735,1.018419666,0.993954526
"34","Males","Non-Hispanic","Model 1",1.004061835,1.013260722,0.994946461
"35","Females","Non-Hispanic","Model 1",1.008879461,1.020497518,0.997393672
"36","All","Non-Hispanic","Model 1",1.005873431,1.013074751,0.998723301
